x,y,z,w
0.1199505,-0.08349612,-0.1860239,0.9716149
0.120088,-0.08343823,-0.1860766,0.9715928
0.1202421,-0.08333278,-0.186134,0.9715717
0.1203942,-0.0831833,-0.1861924,0.9715546
0.1205284,-0.08298746,-0.1862478,0.9715441
0.1206452,-0.08279119,-0.1862839,0.9715393
0.1207565,-0.08259458,-0.1863152,0.9715363
0.1208856,-0.08242848,-0.1863848,0.971521
0.1210193,-0.08232228,-0.1864602,0.9714989
0.1211467,-0.08227462,-0.186537,0.9714722
0.1212521,-0.08228318,-0.1866115,0.971444
0.1213348,-0.08229908,-0.1866045,0.9714337
0.1214021,-0.082312,-0.1865988,0.9714253
0.1214471,-0.08238505,-0.1866017,0.971413
0.1214827,-0.08249044,-0.1865562,0.9714084
0.1215273,-0.08260363,-0.1865052,0.9714029
0.1216033,-0.08268264,-0.1865055,0.9713866
0.121702,-0.08275527,-0.1865027,0.9713686
0.1218214,-0.08283187,-0.1864982,0.971348
0.1219353,-0.08285372,-0.1864885,0.9713337
0.1220129,-0.08286862,-0.1864818,0.971324
0.1220646,-0.08287855,-0.1864774,0.9713175
0.1220815,-0.08279062,-0.1864664,0.971325
0.1221177,-0.08263343,-0.1865465,0.9713184
0.1222258,-0.08242052,-0.1866502,0.971303
0.1223412,-0.08217459,-0.1867654,0.971287
0.1224062,-0.08189313,-0.1869139,0.9712741
0.1224722,-0.08160648,-0.1870617,0.9712614
0.1225432,-0.08129396,-0.1872063,0.9712509
0.1226268,-0.08092579,-0.1873753,0.9712386
0.1226591,-0.08047279,-0.1875776,0.971233
0.1226856,-0.07996888,-0.1877856,0.971231
0.1226988,-0.07945871,-0.1880207,0.9712259
0.1226873,-0.07896132,-0.1882491,0.9712235
0.1226469,-0.07846735,-0.1884543,0.971229
0.1225668,-0.0779825,-0.1886591,0.9712383
0.1224468,-0.07747988,-0.1888607,0.9712545
0.1222907,-0.07695925,-0.189027,0.9712832
0.1221058,-0.07643103,-0.1891319,0.9713277
0.1218956,-0.07596742,-0.1892092,0.9713755
0.1216629,-0.07563707,-0.1893015,0.9714125
0.1213974,-0.07545645,-0.1893085,0.9714584
0.1211179,-0.07540199,-0.1893302,0.9714932
0.1208695,-0.07535358,-0.1893494,0.9715241
0.1206401,-0.07537334,-0.189374,0.9715464
0.1204374,-0.07542598,-0.1893149,0.971579
0.1202588,-0.07548296,-0.1892169,0.9716158
0.1201113,-0.07553884,-0.1890894,0.9716545
0.1200015,-0.07561567,-0.1889391,0.9716913
0.1199753,-0.07570017,-0.1887657,0.9717216
0.1199457,-0.07580084,-0.1885889,0.9717517
0.1200271,-0.07598034,-0.1884623,0.9717522
0.1202157,-0.07621208,-0.1884151,0.9717199
0.1204737,-0.0764877,-0.1884185,0.9716657
0.1207742,-0.07676615,-0.1884179,0.9716066
0.1210899,-0.07702072,-0.1884132,0.971548
0.1214018,-0.07721632,-0.1883182,0.971512
0.1217136,-0.07729273,-0.1881789,0.971494
0.1220289,-0.07737273,-0.1880184,0.9714791
0.1223649,-0.07745672,-0.1878562,0.9714614
0.1227416,-0.07754054,-0.187748,0.9714282
0.1231762,-0.07762453,-0.1877133,0.9713731
0.1236696,-0.07784872,-0.1876877,0.9712975
0.1242289,-0.07811671,-0.1877447,0.9711936
0.1248477,-0.07836416,-0.1878303,0.9710777
0.1254677,-0.07859171,-0.187866,0.9709725
0.1259791,-0.07886784,-0.1877879,0.970899
0.1266049,-0.07846055,-0.1879153,0.9708259
0.126931,-0.07840891,-0.1879662,0.9707777
0.1270637,-0.07855076,-0.1877568,0.9707894
0.1271863,-0.07833526,-0.1876304,0.9708152
0.1272678,-0.07800633,-0.1875789,0.9708409
